rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,-,level,name,message,hardware_id,values,-,level,name,message,hardware_id,values,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value
1522933974906357239,,9,,1522933974,906201557,'',,0,"""ekf_se_map","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_map",'',"""none""",,"""Events in window""","""228""","""Events since startup""","""228""","""Duration of window (s)""","""8.022005""","""Actual frequency (Hz)""","""28.421821""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
1522933974911152358,,9,,1522933974,911024194,'',,0,"""ekf_se_odom","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_odom",'',"""none""",,"""Events in window""","""227""","""Events since startup""","""227""","""Duration of window (s)""","""8.035430""","""Actual frequency (Hz)""","""28.249888""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
1522933975908484113,,10,,1522933975,908279698,'',,0,"""ekf_se_map","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_map",'',"""none""",,"""Events in window""","""258""","""Events since startup""","""258""","""Duration of window (s)""","""9.024086""","""Actual frequency (Hz)""","""28.590153""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
1522933975914164916,,10,,1522933975,913981041,'',,0,"""ekf_se_odom","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_odom",'',"""none""",,"""Events in window""","""257""","""Events since startup""","""257""","""Duration of window (s)""","""9.038387""","""Actual frequency (Hz)""","""28.434276""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
1522933976923232764,,11,,1522933976,923041558,'',,0,"""ekf_se_map","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_map",'',"""none""",,"""Events in window""","""288""","""Events since startup""","""288""","""Duration of window (s)""","""10.038839""","""Actual frequency (Hz)""","""28.688575""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
1522933976944998158,,11,,1522933976,944763173,'',,0,"""ekf_se_odom","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_odom",'',"""none""",,"""Events in window""","""288""","""Events since startup""","""288""","""Duration of window (s)""","""10.069169""","""Actual frequency (Hz)""","""28.602162""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
1522933977923337815,,12,,1522933977,923196211,'',,0,"""ekf_se_map","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_map",'',"""none""",,"""Events in window""","""300""","""Events since startup""","""318""","""Duration of window (s)""","""10.030930""","""Actual frequency (Hz)""","""29.907495""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
1522933977953449525,,12,,1522933977,953311987,'',,0,"""ekf_se_odom","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_odom",'',"""none""",,"""Events in window""","""301""","""Events since startup""","""318""","""Duration of window (s)""","""10.062672""","""Actual frequency (Hz)""","""29.912533""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
1522933978928280985,,13,,1522933978,928165737,'',,0,"""ekf_se_map","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_map",'',"""none""",,"""Events in window""","""300""","""Events since startup""","""348""","""Duration of window (s)""","""10.033210""","""Actual frequency (Hz)""","""29.900699""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
1522933978950432279,,13,,1522933978,950218095,'',,0,"""ekf_se_odom","""The robot_localization state estimation node appears to be functioning properly.""","""none""",[],0,"""ekf_se_odom",'',"""none""",,"""Events in window""","""301""","""Events since startup""","""348""","""Duration of window (s)""","""10.056794""","""Actual frequency (Hz)""","""29.930015""","""Minimum acceptable frequency (Hz)""","""25.200000""","""Maximum acceptable frequency (Hz)""","""35.200000"""
