rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1525094026873432688,,5,,1525094026,825746903,'',2,"""/record_1525094026805946952""","""Subscribing to /rosout""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873474837,,6,,1525094026,831793392,'',2,"""/record_1525094026805946952""","""Subscribing to /imu_stm""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873488609,,7,,1525094026,835776024,'',2,"""/record_1525094026805946952""","""Subscribing to /rosout_agg""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873496772,,8,,1525094026,840238941,'',2,"""/record_1525094026805946952""","""Subscribing to /odometry/gps_right""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873501768,,9,,1525094026,844564260,'',2,"""/record_1525094026805946952""","""Subscribing to /tf_static""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873533819,,10,,1525094026,848988326,'',2,"""/record_1525094026805946952""","""Subscribing to /fix_left""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873553976,,11,,1525094026,852201160,'',2,"""/record_1525094026805946952""","""Subscribing to /tf""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873566377,,12,,1525094026,855125829,'',2,"""/record_1525094026805946952""","""Subscribing to /vel""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873575894,,13,,1525094026,857780805,'',2,"""/record_1525094026805946952""","""Subscribing to /gps/filtered_right""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873582368,,14,,1525094026,860587874,'',2,"""/record_1525094026805946952""","""Subscribing to /odometry/filtered_map""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873591762,,15,,1525094026,863688323,'',2,"""/record_1525094026805946952""","""Subscribing to /uart_data""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873602709,,16,,1525094026,866758578,'',2,"""/record_1525094026805946952""","""Subscribing to /diagnostics""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094026873628104,,17,,1525094026,869902542,'',2,"""/record_1525094026805946952""","""Subscribing to /time_reference""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1525094027038674381,,6,,1525094023,389077620,'',2,"""/navsat_transform_node_left""","""World frame->utm transform is Origin","(0, 0, -0.09191860298272354346)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",291,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered_left]"
1525094027039471230,,5,,1525077848,553606986,'',2,"""/rosapi""","""Rosapi started""","""rosapi_node""","""<module>""",194,[/rosout]
1525094027040713039,,0,,1525094021,52667109,'',2,"""/laser_broadcaster""","""Spinning until killed publishing /base_link to /laser""","""/tmp/binarydeb/ros-kinetic-tf2-ros-0.5.17/src/static_transform_broadcaster_program.cpp""","""main""",142,"[/rosout, /tf_static]"
1525094027040912138,,289,,1525083904,719683885,'',2,"""/rosbridge_websocket""","""Client disconnected. 0 clients total.""","""websocket_handler.py""","""on_close""",112,[/rosout]
